county,subcounty,ward,prec,temp,soil_moisture,clay_content,time_to_treatment,prop_itn_access,prop_livestock_ownership,prop_lowest_wealth_quantile,number_per_room,prop_wall_material,N,pop,prev,IsEndemic_Yes,b0,wardID,present,mean,sd,q0.025,q0.5,q0.975,median,sd.mc_std_err,mean.mc_std_err,risk,occurence,ci_lower_expect,ci_upper_expect,ci_lower_occurence,ci_upper_occurence,uncertainty_expect,uncertainty_occurence,risk_cat,uncertainty_risk_cat,occurence_cat,uncertainty_occurence_cat
Baringo,Baringo Central,Ewalel/Chapchap,0.387303390761113,-0.350424968028684,-0.557895332501528,0.40416056864419,-1.32708585114338,-0.253028748668886,0.423115110144294,-0.138329235144477,-0.607929622419443,-0.651635335779961,0,143953,2.18687268915601e-06,1,1,1,0,0.314806884222075,0.915373948161088,0.0156492568170933,0.122080804807922,1.83802207855076,0.122080804807922,0.177924716633868,0.0401996130017608,0.2,0.0943727572566995,0,1.3,0.00969453215959675,0.296461092493669,1.3,0.286766560334072,1-5,1-5,0.05-0.15,0.15-0.30
Baringo,Baringo Central,Kabarnet,0.243451347425668,0.291043104559886,-0.517842907369511,-0.182345672459933,-1.2396008101281,-0.275730666362882,0.413128764089459,0.0884237775383738,-0.681407838763496,-0.647440157461752,0,260425,4.59034070046637e-06,1,1,2,0,1.19543947691895,3.41093076334616,0.0362336372530522,0.338443902971664,8.39893000663043,0.338443902971664,0.495327834616264,0.139190384450438,0.5,0.174126977528716,0,3.2,0.0191643445742634,0.491674295067776,3.2,0.472509950493512,1-5,1-5,0.15-0.30,0.30-0.50
Baringo,Baringo Central,Kapropita,0.478166828527472,0.0755958272899935,-0.361005666612036,-0.152285255721753,-1.27690342424969,-0.166921398152331,0.390539990455261,-0.110791269082351,-0.662950876474656,-0.673970520501646,0,165539,2.81433160677982e-06,1,1,3,0,0.465881639854725,2.61031282456947,0.0235984301107875,0.171613629834976,2.30522805910898,0.171613629834976,1.14586522185963,0.155016219164882,0.3,0.133652936566997,0,1.4,0.0149507514165405,0.39629113112766,1.4,0.38134037971112,1-5,1-5,0.05-0.15,0.30-0.50
Baringo,Baringo Central,Sacho,0.684614600738861,0.0289821438252072,-0.644129105469768,0.040210836194643,-1.07784484814605,-0.126424379449899,0.496371053245731,0.0842307518687823,-0.63331203271571,-0.598360220422589,0,86109,2.90867494106084e-06,1,1,4,0,0.250463090499808,0.550548199451708,0.0228786985205273,0.129551220862937,1.13123610751949,0.129551220862937,0.0701106015104107,0.0218440464976674,0.3,0.117757782123284,0,1.3,0.0153441125787923,0.350333242892554,1.3,0.334989130313762,1-5,1-5,0.05-0.15,0.30-0.50
Baringo,Baringo Central,Tenges,0.614223265462373,-0.337529081240176,-0.524265825159349,0.0501910584760165,-0.806822640289392,-0.253563522208142,0.658890901253099,0.322963016266978,-0.632406172780171,-0.525077772409635,0,101536,2.33474485891509e-06,1,1,5,0,0.237060653994803,0.496412816026531,0.0183438944516138,0.118462116875615,1.30261936622472,0.118462116875615,0.0893993502364815,0.0213520629451476,0.2,0.104352000617282,0,1.3,0.0131091460432307,0.30982873872038,1.3,0.29671959267715,1-5,1-5,0.05-0.15,0.15-0.30
Baringo,Baringo North,Bartabwa,-0.290535061468812,0.404976705269233,-0.573024039172109,-0.309844715214081,-0.629446151103952,-1.0804084373001,0.488361347669492,0.779451767895984,-0.56713277111782,-0.123871946898007,0,167147,2.255701180252e-05,1,1,6,0,3.77033685175581,20.4509183529992,0.15583096597653,0.936561004439941,17.8273015483593,0.936561004439941,8.23877500715801,1.16778070542196,2.3,0.382482877538949,0.1,10.7,0.0784595885143363,0.725216145849243,10.6,0.646756557334906,1-5,5-17,0.30-0.50,0.50-0.70
Baringo,Baringo North,Barwessa,-0.149581648548509,0.62840507279714,-0.565287384042869,-0.412624718726641,-0.885608339787195,-0.866834109831518,0.517030315286846,0.736227624294374,-0.7229332189835,-0.35029085382127,15,206193,4.33144832729682e-05,1,1,7,1,8.93114324950313,3.75354003889043,2.78288117494189,8.47500134673259,17.5275447318575,8.47500134673259,0.0893441015186559,0.124347975241313,4.3,0.591731562344221,1.3,8.5,0.214198152407539,0.900898807042284,7.2,0.686700654634745,1-5,5-17,0.50-0.70,0.50-0.70
Baringo,Baringo North,Kabartonjo,0.40126346381097,-0.00899350168508536,-0.308683798452009,0.0724528298916193,-1.12027210063991,-0.764434060689497,0.611121038709707,0.145124346498892,-0.727389973397909,-0.505899267126983,0,186445,8.12858398990831e-06,1,1,8,0,1.51553384199845,4.33484743694502,0.101353768411783,0.530122886064619,8.81881883769455,0.530122886064619,0.718201541740515,0.182502965919784,0.8,0.295231667306099,0.1,4.7,0.0623380816569168,0.678599146680084,4.6,0.616261065023167,1-5,1-5,0.15-0.30,0.50-0.70
Baringo,Baringo North,Saimo/Soi,-0.542824833877324,0.672803372898225,-0.242665141502566,-0.36246335088336,-1.03793055832325,-0.707937490459692,0.582957533971582,0.995325717682596,-0.44152982269064,-0.272082524908271,12,162695,5.23310379519327e-05,1,1,9,1,8.51399821958969,3.06782552864763,3.5567843970465,8.26785265567401,15.3863652499538,8.26785265567401,0.0845702426845271,0.102361853128492,5.2,0.693681198664354,2.2,9.5,0.347985372828382,0.936449407305417,7.3,0.588464034477034,5-17,5-17,0.50-0.70,0.50-0.70
Baringo,Baringo North,Saimoi/Kipsaraman,0.315626569162117,-0.250106774932419,-0.0850376691774974,0.0958961335952141,-1.11533133446634,-0.882220416219415,0.637737447369623,-0.0170274170222949,-0.635407400527361,-0.509500210830913,0,218297,5.64812595988927e-06,1,1,10,0,1.23296895266595,3.70140306380621,0.0616402097275947,0.406219461636677,7.24711236103404,0.406219461636677,0.563245927219608,0.15267144245608,0.6,0.241087044708335,0,3.3,0.042109358184517,0.606498014372948,3.3,0.564388656188431,1-5,1-5,0.15-0.30,0.50-0.70
